INTERACTOR_A	INTERACTOR_B
AT1G01080	AT4G34830
AT1G01080	AT4G35250
AT1G01080	AT4G35450
AT1G01080	AT4G35760
AT1G01080	AT4G36390
AT1G01080	AT4G37040
AT1G01080	AT4G37510
AT1G01080	AT4G37930
AT1G01080	AT4G38160
AT1G01080	AT4G38840
AT1G01080	AT4G38970
AT1G01080	AT4G39040
AT1G01080	AT4G39710
AT1G01080	AT4G39970
AT1G01080	AT5G01530
AT1G01080	AT5G01920
AT1G01080	AT5G02120
AT1G01080	AT5G02160
AT1G01080	AT5G02710
AT1G01080	AT5G03880
AT1G01080	AT5G04140
AT1G01080	AT5G05740
AT1G01080	AT5G06290
AT1G01080	AT5G07020
AT1G01080	AT5G08050
AT1G01080	AT5G08280
AT1G01080	AT5G08650
AT1G01080	AT5G09660
AT1G01080	AT5G11450
AT1G01080	AT5G11480
AT1G01080	AT5G13510
AT1G01080	AT5G13730
AT1G01080	AT5G14260
AT1G01080	AT5G14320
AT1G01080	AT5G14460
AT1G01080	AT5G14660
AT1G01080	AT5G14740
AT1G01080	AT5G14910
AT1G01080	AT5G16030
AT1G01080	AT5G16400
AT1G01080	AT5G16710
AT1G01080	AT5G16715
AT1G01080	AT5G17170
AT1G01080	AT5G17230
AT1G01080	AT5G17870
AT1G01080	AT5G18660
AT1G01080	AT5G19220
AT1G01080	AT5G19940
AT1G01080	AT5G20630
AT1G01080	AT5G20935
AT1G01080	AT5G22340
AT1G01080	AT5G23060
AT1G01080	AT5G23120
AT1G01080	AT5G27290
AT1G01080	AT5G27560
AT1G01080	AT5G28500
AT1G01080	AT5G28750
AT1G01080	AT5G30510
AT1G01080	AT5G35170
AT1G01080	AT5G35790
AT1G01080	AT5G36170
AT1G01080	AT5G38290
AT1G01080	AT5G38520
AT1G01080	AT5G38660
AT1G01080	AT5G39210
AT1G01080	AT5G39830
AT1G01080	AT5G42070
AT1G01080	AT5G42310
AT1G01080	AT5G42765
AT1G01080	AT5G43750
AT1G01080	AT5G44650
AT1G01080	AT5G45390
AT1G01080	AT5G45680
AT1G01080	AT5G45930
AT1G01080	AT5G46110
AT1G01080	AT5G46420
AT1G01080	AT5G46580
AT1G01080	AT5G47110
AT1G01080	AT5G47190
AT1G01080	AT5G47840
AT1G01080	AT5G48790
AT1G01080	AT5G51010
AT1G01080	AT5G51110
AT1G01080	AT5G51545
AT1G01080	AT5G52100
AT1G01080	AT5G52440
AT1G01080	AT5G52780
AT1G01080	AT5G52960
AT1G01080	AT5G52970
AT1G01080	AT5G53490
AT1G01080	AT5G53580
AT1G01080	AT5G54600
AT1G01080	AT5G55220
AT1G01080	AT5G55710
AT1G01080	AT5G57030
AT1G01080	AT5G57180
AT1G01080	AT5G57930
AT1G01080	AT5G58140
AT1G01080	AT5G58250
AT1G01080	AT5G58260
AT1G01080	AT5G58330
AT1G01080	AT5G60600
AT1G01080	AT5G61410
AT1G01080	AT5G62790
AT1G01080	AT5G62840
AT1G01080	AT5G63310
AT1G01080	AT5G64040
AT1G01080	AT5G64380
AT1G01080	AT5G65220
AT1G01080	AT5G66190
AT1G01080	AT5G66470
AT1G01080	AT5G66570
AT1G01100	AT2G33370
AT1G01100	AT2G43460
AT1G01100	AT3G02080
AT1G01100	AT3G02560
AT1G01100	AT3G04400
AT1G01100	AT3G04920
AT1G01100	AT3G11510
AT1G01100	AT3G22230
AT1G01100	AT3G25520
AT1G01100	AT3G28900
AT1G01100	AT3G49910
AT1G01100	AT3G52580
AT1G01100	AT3G52590
AT1G01100	AT3G53740
AT1G01100	AT3G56340
AT1G01100	AT3G59540
AT1G01100	AT3G61110
AT1G01100	AT3G62870
AT1G01100	AT4G14320
AT1G01100	AT4G15000
AT1G01100	AT5G07090
AT1G01100	AT5G23740
AT1G01100	AT5G27700
AT1G01100	AT5G27770
AT1G01100	AT5G27850
AT1G01100	AT5G28060
AT1G01100	AT5G47700
AT1G01170	AT1G75350
AT1G01170	AT2G47400
AT1G01170	AT3G51510
AT1G01170	AT4G03280
AT1G01170	AT4G14890
AT1G01170	AT5G14320
AT1G01170	AT5G14910
AT1G01170	AT5G51545
AT1G01280	AT1G30020
AT1G01280	AT1G61070
AT1G01280	AT1G67990
AT1G01280	AT1G69500
AT1G01280	AT1G71160
AT1G01280	AT1G74540
AT1G01280	AT3G07450
AT1G01280	AT3G11980
AT1G01280	AT3G13220
AT1G01280	AT3G23770
AT1G01280	AT3G42960
AT1G01280	AT3G52130
AT1G01280	AT3G52160
AT1G01280	AT4G14080
AT1G01280	AT4G34850
AT1G01280	AT5G07230
AT1G01280	AT5G13380
AT1G01280	AT5G16920
AT1G01280	AT5G52160
AT1G01280	AT5G62080
AT1G01310	AT1G19500
AT1G01310	AT3G02810
AT1G01310	AT3G02970
AT1G01310	AT3G05610
AT1G01310	AT3G09530
AT1G01310	AT3G25165
AT1G01310	AT3G25170
AT1G01310	AT3G26860
AT1G01310	AT3G43120
AT1G01310	AT4G03290
AT1G01310	AT4G24640
AT1G01310	AT4G39110
AT1G01310	AT5G15110
AT1G01310	AT5G16500
AT1G01310	AT5G19360
AT1G01310	AT5G26060
AT1G01310	AT5G27980
AT1G01310	AT5G28680
AT1G01310	AT5G48140
AT1G01310	AT5G50830
AT1G01310	AT5G54095
AT1G01310	AT5G62750
AT1G01320	AT1G19150
AT1G01320	AT1G20340
AT1G01320	AT1G31800
AT1G01320	AT1G32060
AT1G01320	AT1G32080
AT1G01320	AT1G32160
AT1G01320	AT1G32470
AT1G01320	AT1G32550
AT1G01320	AT1G42970
AT1G01320	AT1G44575
AT1G01320	AT1G45474
AT1G01320	AT1G50900
AT1G01320	AT1G52220
AT1G01320	AT1G52230
AT1G01320	AT1G60950
AT1G01320	AT1G67700
AT1G01320	AT1G67740
AT1G01320	AT1G68010
AT1G01320	AT1G71500
AT1G01320	AT1G74470
AT1G01320	AT1G76450
AT1G01320	AT1G79850
AT1G01320	AT2G26500
AT1G01320	AT2G33450
AT1G01320	AT2G39730
AT1G01320	AT2G40490
AT1G01320	AT2G41680
AT1G01320	AT2G43560
AT1G01320	AT3G01370
AT1G01320	AT3G01480
AT1G01320	AT3G02450
AT1G01320	AT3G04760
AT1G01320	AT3G07670
AT1G01320	AT3G08010
AT1G01320	AT3G08740
AT1G01320	AT3G09210
AT1G01320	AT3G09580
AT1G01320	AT3G10970
AT1G01320	AT3G12780
AT1G01320	AT3G13120
AT1G01320	AT3G15190
AT1G01320	AT3G15360
AT1G01320	AT3G16000
AT1G01320	AT3G16250
AT1G01320	AT3G21055
AT1G01320	AT3G22210
AT1G01320	AT3G23700
AT1G01320	AT3G24430
AT1G01320	AT3G25480
AT1G01320	AT3G25690
AT1G01320	AT3G25920
AT1G01320	AT3G26060
AT1G01320	AT3G26570
AT1G01320	AT3G26650
AT1G01320	AT3G26710
AT1G01320	AT3G27160
AT1G01320	AT3G46780
AT1G01320	AT3G47070
AT1G01320	AT3G47650
AT1G01320	AT3G48200
AT1G01320	AT3G48420
AT1G01320	AT3G48730
AT1G01320	AT3G50820
AT1G01320	AT3G51420
AT1G01320	AT3G51820
AT1G01320	AT3G52150
AT1G01320	AT3G52380
AT1G01320	AT3G53130
AT1G01320	AT3G54050
AT1G01320	AT3G54210
AT1G01320	AT3G55250
AT1G01320	AT3G55330
AT1G01320	AT3G55800
AT1G01320	AT3G56010
AT1G01320	AT3G56940
AT1G01320	AT3G59400
AT1G01320	AT3G61870
AT1G01320	AT3G62030
AT1G01320	AT3G63140
AT1G01320	AT3G63410
AT1G01320	AT3G63490
AT1G01320	AT4G01050
AT1G01320	AT4G01150
AT1G01320	AT4G01310
AT1G01320	AT4G01800
AT1G01320	AT4G02530
AT1G01320	AT4G02770
AT1G01320	AT4G03280
AT1G01320	AT4G04640
AT1G01320	AT4G09010
AT1G01320	AT4G09650
AT1G01320	AT4G11175
AT1G01320	AT4G12800
AT1G01320	AT4G14210
AT1G01320	AT4G14890
AT1G01320	AT4G16410
AT1G01320	AT4G17560
AT1G01320	AT4G17600
AT1G01320	AT4G18480
AT1G01320	AT4G20360
AT1G01320	AT4G21210
AT1G01320	AT4G21280
AT1G01320	AT4G22890
AT1G01320	AT4G24770
AT1G01320	AT4G25050
AT1G01320	AT4G25080
AT1G01320	AT4G27600
AT1G01320	AT4G27700
AT1G01320	AT4G28080
AT1G01320	AT4G28660
AT1G01320	AT4G28750
AT1G01320	AT4G29060
AT1G01320	AT4G30950
AT1G01320	AT4G31850
AT1G01320	AT4G32260
AT1G01320	AT4G33470
AT1G01320	AT4G34190
AT1G01320	AT4G34830
AT1G01320	AT4G35250
AT1G01320	AT4G37510
AT1G01320	AT4G37930
AT1G01320	AT4G38970
AT1G01320	AT5G01530
AT1G01320	AT5G02120
AT1G01320	AT5G02710
AT1G01320	AT5G04140
AT1G01320	AT5G05740
AT1G01320	AT5G08280
AT1G01320	AT5G08650
AT1G01320	AT5G09660
AT1G01320	AT5G13510
AT1G01320	AT5G13630
AT1G01320	AT5G13650
AT1G01320	AT5G14320
AT1G01320	AT5G14660
AT1G01320	AT5G14910
AT1G01320	AT5G17170
AT1G01320	AT5G17230
AT1G01320	AT5G19220
AT1G01320	AT5G23060
AT1G01320	AT5G23120
AT1G01320	AT5G28500
AT1G01320	AT5G30510
AT1G01320	AT5G35790
AT1G01320	AT5G42270
AT1G01320	AT5G42310
AT1G01320	AT5G44650
AT1G01320	AT5G45390
AT1G01320	AT5G45930
AT1G01320	AT5G46110
AT1G01320	AT5G46580
AT1G01320	AT5G47110
AT1G01320	AT5G50920
AT1G01320	AT5G51110
AT1G01320	AT5G52440
AT1G01320	AT5G52780
AT1G01320	AT5G52970
AT1G01320	AT5G53490
AT1G01320	AT5G54600
AT1G01320	AT5G55220
AT1G01320	AT5G57930
AT1G01320	AT5G58140
AT1G01320	AT5G58250
AT1G01320	AT5G58330
AT1G01320	AT5G60600
AT1G01320	AT5G61410
AT1G01320	AT5G66190
AT1G01320	AT5G66570
AT1G01460	AT5G27870
AT1G01560	AT3G01830
AT1G01560	AT5G52760
AT1G01750	AT1G12560
AT1G01750	AT1G48930
AT1G01750	AT1G62980
AT1G01750	AT2G47540
AT1G01750	AT3G01190
AT1G01750	AT3G10710
AT1G01750	AT3G23190
AT1G01750	AT3G49960
AT1G01750	AT3G62680
AT1G01750	AT4G00680
AT1G01750	AT4G02270
AT1G01750	AT4G25790
AT1G01750	AT4G25820
AT1G01750	AT4G26010
AT1G01750	AT4G30170
AT1G01750	AT4G30320
AT1G01750	AT4G31320
AT1G01750	AT4G34580
AT1G01750	AT4G40090
AT1G01750	AT5G04960
AT1G01750	AT5G05500
AT1G01750	AT5G15890
AT1G01750	AT5G17820
AT1G01750	AT5G35190
AT1G01750	AT5G40510
AT1G01750	AT5G49270
AT1G01750	AT5G57530
AT1G01750	AT5G66280
AT1G01750	AT5G67400
AT1G01790	AT1G18060
AT1G01790	AT1G19150
AT1G01790	AT1G32080
AT1G01790	AT1G32160
AT1G01790	AT1G56500
AT1G01790	AT1G67840
AT1G01790	AT1G77490
AT1G01790	AT3G01480
AT1G01790	AT3G10060
AT1G01790	AT3G11945
AT1G01790	AT3G18890
AT1G01790	AT3G25690
AT1G01790	AT3G27925
AT1G01790	AT3G46780
AT1G01790	AT3G48420
AT1G01790	AT3G54050
AT1G01790	AT3G56650
AT1G01790	AT3G63140
AT1G01790	AT4G09010
AT1G01790	AT4G22890
AT1G01790	AT4G27700
AT1G01790	AT4G33010
AT1G01790	AT4G33470
AT1G01790	AT4G34830
AT1G01790	AT4G35250
