INTERACTOR_A	INTERACTOR_B
LOC_Os01g12220	LOC_Os09g26810
LOC_Os04g56850	LOC_Os10g20650
LOC_Os04g56850	LOC_Os12g05120
LOC_Os04g56850	LOC_Os01g08190
LOC_Os04g56850	LOC_Os02g56490
LOC_Os04g56850	LOC_Os03g50140
LOC_Os05g43310	LOC_Os02g22100
LOC_Os05g43310	LOC_Os09g10750
LOC_Os05g43310	LOC_Os02g57020
LOC_Os05g43310	LOC_Os07g32880
LOC_Os05g43310	LOC_Os01g39960
LOC_Os05g43310	LOC_Os04g51300
LOC_Os05g43310	LOC_Os02g15660
LOC_Os05g43310	LOC_Os07g05480
LOC_Os05g43310	LOC_Os10g01044
LOC_Os05g43310	LOC_Os02g42570
LOC_Os05g43310	LOC_Os01g68450
LOC_Os05g43310	LOC_Os06g05950
LOC_Os05g43310	LOC_Os04g41340
LOC_Os05g43310	LOC_Os08g07060
LOC_Os05g43310	LOC_Os06g51029
LOC_Os05g43310	LOC_Os05g48630
LOC_Os05g43310	LOC_Os01g25600
LOC_Os05g43310	LOC_Os08g45190
LOC_Os05g43310	LOC_Os07g05000
LOC_Os05g43310	LOC_Os01g59090
LOC_Os05g43310	LOC_Os07g46780
LOC_Os05g43310	LOC_Os02g47020
LOC_Os05g43310	LOC_Os05g22614
LOC_Os05g43310	LOC_Os02g01340
LOC_Os05g43310	LOC_Os01g72950
LOC_Os05g43310	LOC_Os12g23180
LOC_Os05g43310	LOC_Os08g40160
LOC_Os05g43310	LOC_Os12g08770
LOC_Os05g43310	LOC_Os02g51470
LOC_Os05g43310	LOC_Os03g19760
LOC_Os05g43310	LOC_Os08g29370
LOC_Os05g43310	LOC_Os06g47940
LOC_Os05g43310	LOC_Os01g71190
LOC_Os05g43310	LOC_Os06g04150
LOC_Os05g43310	LOC_Os03g64020
LOC_Os05g43310	LOC_Os04g38640
LOC_Os05g43310	LOC_Os10g15300
LOC_Os05g43310	LOC_Os07g37250
LOC_Os05g43310	LOC_Os04g50110
LOC_Os05g43310	LOC_Os11g40600
LOC_Os05g43310	LOC_Os07g47640
LOC_Os05g43310	LOC_Os02g58790
LOC_Os05g43310	LOC_Os06g09610
LOC_Os05g43310	LOC_Os07g07540
LOC_Os05g43310	LOC_Os01g31690
LOC_Os05g43310	LOC_Os06g21590
LOC_Os05g43310	LOC_Os08g02210
LOC_Os05g43310	LOC_Os10g39800
LOC_Os05g43310	LOC_Os03g21560
LOC_Os05g43310	LOC_Os06g47970
LOC_Os05g43310	LOC_Os12g17320
LOC_Os05g43310	LOC_Os11g13890
LOC_Os05g43310	LOC_Os02g34810
LOC_Os05g43310	LOC_Os03g03720
LOC_Os05g43310	LOC_Os04g38600
LOC_Os05g43310	LOC_Os03g14669
LOC_Os05g43310	LOC_Os03g39830
LOC_Os05g43310	LOC_Os01g17240
LOC_Os05g43310	LOC_Os02g17920
LOC_Os05g43310	LOC_Os07g01030
LOC_Os05g43310	LOC_Os06g49160
LOC_Os05g43310	LOC_Os07g07480
LOC_Os05g43310	LOC_Os03g16050
LOC_Os05g43310	LOC_Os03g62510
LOC_Os05g43310	LOC_Os03g50270
LOC_Os05g43310	LOC_Os08g27010
LOC_Os05g43310	LOC_Os07g25430
LOC_Os05g43310	LOC_Os07g37240
LOC_Os05g43310	LOC_Os04g54640
LOC_Os05g43310	LOC_Os11g13850
LOC_Os05g43310	LOC_Os06g13660
LOC_Os05g43310	LOC_Os01g67120
LOC_Os10g19110	LOC_Os10g19140
LOC_Os10g28610	LOC_Os03g01360
LOC_Os08g37940	LOC_Os02g58790
LOC_Os08g37940	LOC_Os07g09370
LOC_Os08g37940	LOC_Os05g19380
LOC_Os08g37940	LOC_Os04g51300
LOC_Os08g37940	LOC_Os05g33280
LOC_Os08g37940	LOC_Os02g51020
LOC_Os08g37940	LOC_Os02g42570
LOC_Os08g37940	LOC_Os06g05950
LOC_Os08g37940	LOC_Os08g01170
LOC_Os08g37940	LOC_Os02g57010
LOC_Os08g37940	LOC_Os02g02000
LOC_Os08g37940	LOC_Os03g29730
LOC_Os08g37940	LOC_Os08g44000
LOC_Os08g37940	LOC_Os03g62780
LOC_Os08g37940	LOC_Os02g32780
LOC_Os08g37940	LOC_Os01g59090
LOC_Os08g37940	LOC_Os08g16570
LOC_Os08g37940	LOC_Os03g39830
LOC_Os08g37940	LOC_Os07g46780
LOC_Os08g37940	LOC_Os02g17920
LOC_Os08g37940	LOC_Os02g51570
LOC_Os08g37940	LOC_Os02g51470
LOC_Os08g37940	LOC_Os01g69950
LOC_Os08g37940	LOC_Os03g56869
LOC_Os08g37940	LOC_Os03g19760
LOC_Os08g37940	LOC_Os08g23410
LOC_Os08g37940	LOC_Os06g49160
LOC_Os08g37940	LOC_Os01g32830
LOC_Os08g37940	LOC_Os06g04150
LOC_Os08g37940	LOC_Os11g29230
LOC_Os08g37940	LOC_Os10g15300
LOC_Os08g37940	LOC_Os06g45370
LOC_Os08g37940	LOC_Os04g50110
LOC_Os08g37940	LOC_Os04g40530
LOC_Os08g37940	LOC_Os09g26810
LOC_Os04g53560	LOC_Os01g48710
LOC_Os04g53560	LOC_Os02g45890
LOC_Os04g53560	LOC_Os05g19570
LOC_Os03g58100	LOC_Os03g48040
LOC_Os03g58100	LOC_Os02g33500
LOC_Os03g58100	LOC_Os07g38300
LOC_Os01g54540	LOC_Os01g44210
LOC_Os01g54540	LOC_Os03g61260
LOC_Os12g37400	LOC_Os03g11540
LOC_Os12g37400	LOC_Os05g38480
LOC_Os12g37400	LOC_Os04g48760
LOC_Os12g37400	LOC_Os07g32390
LOC_Os12g37400	LOC_Os10g28230
LOC_Os12g37400	LOC_Os05g36280
LOC_Os12g37400	LOC_Os10g30280
LOC_Os12g37400	LOC_Os12g19180
LOC_Os12g37400	LOC_Os02g06340
LOC_Os12g37400	LOC_Os01g59120
LOC_Os12g37400	LOC_Os05g39850
LOC_Os12g37400	LOC_Os03g22040
LOC_Os12g37400	LOC_Os11g29380
